Job (Long),AD,Email,ShoreTel,Cell,Fax,Desktop,Laptop,List of Members
Accounts Receivable Lead,x,x,x, , ,"[""Global Protect VPN User"", ""Smartsheet_Licensed"", ""GoogleAppsEA"", ""New Customer Setups"", ""AFS Log Notification"", ""Store-Accounting"", ""Trade Management Team"", ""Accounts Receivable UK"", ""Store-Projects Accounts Receivable UK"", ""Store-Accounting Private Accounts Receivables"", ""Store-Projects Price Lists RO"", ""Oracle Team"", ""Store-Accounting Scanning"", ""Store-Projects MadelainesBackup"", ""Accounting"", ""EDI Team"", ""apebsukReader"", ""arEditor"", ""Staff-Petaluma""]"
Accounts Receivable Specialist,x,x,x, , ,"[""GoogleAppsEA"", ""Smartsheet_Unlicensed"", ""Store-Accounting"", ""Store-Projects Accounts Receivable UK"", ""Store-Accounting Private Accounts Receivables"", ""Store-Projects Price Lists RO"", ""Oracle Team"", ""Store-Accounting Scanning"", ""Store-Projects MadelainesBackup"", ""Accounting"", ""arEditor"", ""arReader"", ""Staff-Petaluma"", ""Accounts Payable UK"", ""Store-Safety"", ""General Mailbox"", ""Store-Office Admin"", ""Safety Committee-Petaluma"", ""apEditor"", ""Store-Accounting Deposit""]"
Accounts Receivable Specialist-Temp,x,x, , , ,[]
Accounts Receivable Temp,x,x,x, , ,[]
Accouting Supervisor,x, , , , ,[]
Additional Chairs for NPT Meeting Rooms,x,x, , , ,[]
Administrative Assistant,x,x,x, , ,"[""Store-Projects Packaging Engineering"", ""Dynamics Prod Users"", ""Global Protect VPN User"", ""Capital Projects"", ""GoogleApps"", ""Staff-Northpoint Corporate"", ""ADC-ENG Reviewer"", ""SFTA"", ""Dynamics Team"", ""Concur Users"", ""Engineering-Corporate"", ""Store-Maintenance"", ""Engineering Department"", ""New Equipment Startup SOP-Santa Rosa"", ""QA Jarring Report-Northpoint"", ""Store-Executive MBR Presentations RW"", ""Engineering-Northpoint"", ""apReader"", ""Store-Manufacturing Documents Corporate RW"", ""Store-Engineering""]"
Administrative Assistant Corporate Engineering - TEMP,x,x, , , ,[]
Ag Field Rep,x,x, , , ,"[""Marketing Consultants"", ""Smartsheet_Licensed"", ""Store-QA Raw Materials Supplier QA Supplier Visits RW"", ""GoogleApps"", ""GADS"", ""Sourcing-Agricultural"", ""Store-Projects Equipment Project for FM Reduction RW"", ""Concur Users"", ""manufacturingReader"", ""manufacturingebsReader"", ""Material Shortages-Medford"", ""New Item Number Notification"", ""Store-Projects-Genesis"", ""Store-Training EBS"", ""Material Shortages-Northpoint"", ""Store-Organic Agriculture"", ""Store-Sourcing"", ""Store-QA Share with Purchasing RW"", ""Store-Projects Tech Services RW"", ""Store-Purchasing Vendor Book Doc RW"", ""vendorAdmin"", ""Sourcing"", ""Staff-Dutton"", ""Staff-Remote"", ""Material Planning""]"
Agriculture Field Representative,x,x,x,x,x,"[""Goals Training Sessions"", ""ADC-Corp Editor"", ""Quintiq-MRP"", ""Store-QA Raw Materials Supplier QA Supplier Visits RW"", ""GoogleApps"", ""Quintiq-Material Planner"", ""Sourcing-Agricultural"", ""Store-Projects Equipment Project for FM Reduction RW"", ""Concur Users"", ""manufacturingReader"", ""manufacturingebsReader"", ""Material Shortages-Medford"", ""New Item Number Notification"", ""Store-Projects-Genesis"", ""Store-Training EBS"", ""Material Shortages-Northpoint"", ""Store-Organic Agriculture"", ""Store-Sourcing"", ""Store-QA Share with Purchasing RW"", ""Store-Projects Tech Services RW"", ""Store-Purchasing Vendor Book Doc RW"", ""vendorAdmin"", ""Sourcing"", ""Staff-Dutton"", ""Staff-Remote"", ""Material Planning"", ""GoogleAppsEA"", ""Quintiq-Observer""]"
